customer_text,brand_reply,customer_tweet_id,reply_tweet_id,true_intent,true_escalate,notes,drafted_reply,grounded_on,judge_relevance,judge_tone,judge_actionability,judge_overall,judge_reasoning
@115888 when is my year in music coming back and can you make it less shitty than last year,"@537740 Hey there! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see /NQ",1790174,1790173,feature_request,no,LLM-DRAFT — please review,"{""reply"":""@User Hey there! We don’t have any info on this right now, but we’ll pass your feedback along to the team. Stay tuned for updates! /LM"",""",parse_error,4,3,3,2,"Addresses the query but is malformed and uses placeholder tags, reducing its suitability."
can y’all update your app for iPhone X thanks 🙏🏼 @115888 @SpotifyCares,@665203 Hey there! We understand - we’re working on it as we speak. Stay tuned /NQ,2289777,2289776,feature_request,no,LLM-DRAFT — please review,@115888 Hey there! We're working on iPhone X support and appreciate the nudge. Stay tuned for updates! 🙏 /NQ,"Inspired by Example 1, which acknowledges the request and says the team is working on it.",5,5,4,5,"The reply directly acknowledges the iPhone X request, uses a friendly tone, and tells the user to stay tuned for updates."
"@117168 @117168 hi. Hello, yes I have an issue with a song you had on spotify but is no longer there. Resolve asap pls",@313676 Hey there! Can you let us know the track you're looking for? We'll check its availability /JC,812816,812814,content_availability,no,corrected during review,@117168 Hey! Could you tell us the track name and artist? We'll look into its availability. Thanks! /JC,Example 1 where we ask for the track details to check availability,5,5,5,5,"The reply directly asks for needed details in a friendly, concise manner, matching Spotify's support style."
@SpotifyCares please bring it back! It was the only good email.,@235269 We hear you loud and clear! We can’t make any promises but we’ll pass your feedback onto the right folks /NS,2756257,2756256,feature_request,no,LLM-DRAFT — please review,"@user Got it! We hear you loud and clear. While we can’t promise anything, we’ll pass your feedback to the right team. Thanks for sharing! /NS",Example 1,5,5,4,4,"The reply mirrors the official tone and acknowledges the request, but offers no concrete next step beyond vague feedback forwarding."
@SpotifyCares can y’all get back to me pls,@717383 We've just sent a DM your way. Let's carry on chatting there /AN,2528343,2528342,login_account_access,yes,LLM-DRAFT — please review,We've just sent you a DM. Let's keep the convo there 🎧,Example 1 – a quick DM invitation to continue the chat,5,5,5,5,"The reply directly acknowledges the request, uses Spotify's friendly tone, and gives a clear next step to check the DM."
I’m having a issue with my family account. 😐 Does anyone can help me? @117153,@581991 Hey Anna! Can you DM us your account's username and email address? It'd be great if you could also let us know what's happening exactly /JL https://t.co/ldFdZRiNAt,1962782,1962781,billing_subscription,yes,LLM-DRAFT — please review,@117153 Hey there! Can you DM us your account’s username and email (or the family members’ emails) so we can take a look? Thanks! 🎧 https://t.co/ldFdZRiNAt,Inspired by Example 1’s format asking for username/email via DM.,5,5,5,5,"The reply directly asks for needed info in a friendly, concise tone, giving a clear next step."
@SpotifyCares @706902 Please reply to my concern.,"@706903 Hey, sorry for the delay. Can you DM us your account's username or email address? We'll take a look backstage /PL https://t.co/ldFdZRiNAt",2471762,2471764,login_account_access,yes,LLM-DRAFT — please review,"@706902 Hey, sorry for the delay! Could you DM us your account’s email or username? We’ll take a look backstage /PL",Inspired by Example 1’s pattern of asking for a DM with account details,5,5,5,5,"The reply directly asks for the needed info in a friendly, concise tone, giving a clear next step."
@SpotifyCares when will @425725 new album Trial By Fire available in Malaysia?,"@574615 1: Hey, there! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa.",1930990,1930992,content_availability,no,LLM-DRAFT — please review,"Hey there! Fingers crossed we’ll have it soon. In the meantime, check out Spotify’s content info here: https://t.co/0i8GpimuDa 🙂","Inspired by Example 1’s friendly, concise reply with the content info link",3,5,2,3,It’s friendly and on‑topic but vague and offers no clear answer or next step for the release date.
"@SpotifyCares What is that one based on, what I listen to and similar or literally random based on the general public?","@211832 The playlist was created by our Curation team. They use taste, data, research, and trends to create the playlist 🙂 /TC",781145,781147,feature_request,no,LLM-DRAFT — please review,"We create those playlists using your listening habits, data, research & trends—not random. 🙂 /TC","Based on Example 1 which explained that playlists are curated using taste, data, research, and trends.",5,5,5,5,"The reply directly answers the question with a friendly, concise tone and provides a clear explanation."
@115888 How?,"@273122 Hey there! The Intro Offer of ₱9 for 3 months is for those who haven't had Premium before. If you haven't been on a subscription in the past, hea over to https://t.co/WB5TSxRfDe to take this offer 😉 /SY",2838,645123,billing_subscription,no,LLM-DRAFT — please review,"{""reply"":""Hi there! To claim the offer, just head here and use a credit/debit",parse_error,2,3,1,1,"The reply is truncated, lacks the necessary link and details, making it vague and not fully actionable."
@SpotifyCares no it works fine on my MacBook Air and on iPhone,@697070 Alright. Could you send us a DM with your account's email address or username? We'll take a look backstage /LO https://t.co/ldFdZRiNAt,2427732,2427733,playback_bug,yes,LLM-DRAFT — please review,@user Got it. Could you DM us your account email or username? We’ll dig in and get this sorted for you. 🎧,Inspired by Example 1 where we asked the user to DM their email/username,4,5,5,4,"The reply is friendly and gives a clear next step, though it only loosely addresses the customer's comment."
@SpotifyCares Neither worked,"@204009 Hmm. Just to check, are you they greyed out? If not, are you getting any error messages when trying to play them? /PB",371577,371575,playback_bug,yes,LLM-DRAFT — please review,@SpotifyCares Got it! Can you DM us your account email or username so we can look into it? /PB,Example 2 (asked for DM with email/username),4,4,5,4,"The reply acknowledges the problem and asks for needed info, matching tone and giving a clear next step."
"@SpotifyCares 4G. Wifi takes long to load, but at least it does something",@299692 Sorry about this. We appreciate your feedback on this issue. We’ll get this passed onto the right team /JQ,751832,751834,playback_bug,no,LLM-DRAFT — please review,Sorry about the lag! Can you DM us your Spotify username or email? We'll check it out for you. /JQ,Inspired by Example 1 (apology) and Example 2 (DM request with code),0,0,0,0,parse_error
@SpotifyCares I definitely need to contact you. A number or email would be nice.,"@351107 Hey We don't offer phone support at this time, but we've just sent a DM your way. Let's carry on chatting there /NQ",974531,974530,feature_request,no,corrected during review,"Hey! We don’t offer phone or email support right now, but we’ve just sent you a DM. Let’s keep the convo there 😊",Example 1,5,5,5,5,"The reply directly answers the request, uses a friendly concise tone, and gives a clear next step."
"@115888 hey hey, is there anyway i can change my credit card info on the app? orrrrr","@567918 Hey Keyra! To update your payment information for Spotify Premium, just follow these steps: https://t.co/rgQPzQJv2L /BH",2431670,2431669,billing_subscription,no,LLM-DRAFT — please review,"@115888 Hey! You can’t update your card in the app, but you can change it online here: https://t.co/71whArJDaT. Let us know if you need anything else! 🎧","Inspired by Example 2, which explains the card can’t be changed in‑app and provides a link.",5,5,5,5,"The reply directly answers the request, uses a friendly tone, and gives a clear link for updating payment info."
"If you’re a big company that is serious about your apps and still haven’t shipped a version that supports the bigger iPhone X display then you are definitely doing something wrong. Ping @115888, @1511, @33740, @117634, @91052 etc",@672273 @1511 @33740 @117634 @91052 Hey Markus! We understand - we’re working on it as we speak. Stay tuned /GK,2319364,2319363,feature_request,no,LLM-DRAFT — please review,@user @1511 @33740 @117634 @91052 Hey there! We hear you – our team’s on it. Stay tuned for an update soon. /SP,Example 1,4,5,4,4,"The reply acknowledges the issue and promises an update, matching tone but offers only a vague next step."
I would like for @115888 TO STOP PLAYING HORROR MOVIE ADS PLEASE AND THANK YOU,"@207121 Hey Pravalika, we didn't mean to scare you. Don't worry, we'll pass your feedback on to the right people /AY",384886,384884,feature_request,no,LLM-DRAFT — please review,@115888 Hey there! Sorry about the horror ads—definitely not our intention. We’ll forward your feedback to our Ads team. Thanks for letting us know!,Example 1 (similar wording and tone),5,5,4,4,"The reply acknowledges the issue, uses a friendly tone, and clearly states the feedback will be passed to the Ads team."
Yoo @SpotifyCares the discover weekly was on point especially this song from when i was young throwback!! https://t.co/mrgJBRER8p,@620114 Hey there! We're glad you like this week's Discover Weekly playlist. There should be more of where this came from. Feel free to tweet us if there's anything else /GK,2932360,2932359,resolved_positive,no,corrected during review,@Yoo Glad you loved the throwback on Discover Weekly! Keep adding tracks you love and we’ll keep the vibes coming 🎧 Let us know if you need anything else. /GK,Example 1,5,5,3,4,"The reply acknowledges the praise and stays friendly, but offers only a generic next step rather than a specific actionable suggestion."
"@SpotifyCares All of my auto logins stopped working recently and the password reset directs me to an old account from a different country. Meanwhile, I am paying for a premium subscription that I cannot use. How can I get my log in details for my current account? Thanks",@227311 Hi John! Help's here. Can you DM us your account's username or email address? We'll check things backstage /MU https://t.co/ldFdZRiNAt,471651,471650,login_account_access,yes,LLM-DRAFT — please review,Hey! Help’s here. Could you DM us the email or username you use for Spotify? We’ll check backstage and get you back to premium 🎧,Inspired by Example 1’s approach of asking for the user’s email/username via DM.,5,5,5,5,"The reply directly asks for account info in a friendly, concise way, giving a clear next step."
@SpotifyCares Amazing. That's exactly it. Thank you RH,"@701856 Anytime! If you have anything else in mind, just give us a shout. https://t.co/m4HWSbgHVZ 🙂 /RH",2448580,2448581,resolved_positive,no,LLM-DRAFT — please review,"@SpotifyCares No worries! If you need anything else, just give us a shout. 🙂 /RH",Example 1,5,5,4,5,"The reply acknowledges the thanks, matches Spotify’s friendly tone, and offers a clear next step if needed."
@SpotifyCares Hi. I'm using the Spotify for Artists app and I'm not longer getting 'live' streaming numbers on my songs. Why is that? 🙂,@575446 Hi! Our friends in Artist Support are the right folks to help with this. You can get in touch with them here: https://t.co/p1wbtdELHu /MT,1933854,1933853,content_availability,no,corrected during review,Hi! Our Artist Support team can help with live streaming numbers. You can reach them here: https://support.spotify.com/artist,Example 1 (similarity: 1.00),4,5,5,5,"The reply is friendly, concise, and gives a clear next step, though it doesn't explain the issue directly."
@SpotifyCares  https://t.co/tBtLxE80BR,@442721 Thanks. Can you try logging out &gt; restarting your phone &gt; logging back in? Let us know if that makes a difference /RH,1386905,1386904,playback_bug,no,LLM-DRAFT — please review,"@442721 Thanks for reaching out! Can you try logging out, restarting your phone, then logging back in? Let us know if that helps. /RH",Example 1,5,5,5,5,"The reply matches Spotify's style, directly suggests clear troubleshooting steps, and is concise and friendly."
@SpotifyCares I hope so. It's my favorite album 😔,"@725061 We understand. If you need help with anything else, just give us a shout. Otherwise, have a... https://t.co/FQulrDtFky 😉 /GU",2552637,2552638,content_availability,no,LLM-DRAFT — please review,"We get it—hope to have it back for you soon! We'll add it as soon as we can. If you have any other questions, just give us a shout 🙂",Inspired by Example 3’s reassurance and invitation to ask more,5,5,3,4,"It acknowledges the issue and uses a friendly tone, but offers no concrete next step for the user."
"@SpotifyCares Email: __email__User: whiterabbit.obj",@644357 We'd suggest deleting your tweet as it contains your private info. Can you send it via DM instead? /RI https://t.co/ldFdZRiNAt,2203694,2203696,login_account_access,yes,LLM-DRAFT — please review,@whiterabbit.obj Please delete your tweet—it contains private info—and send us a DM with the details. You can DM us here: https://t.co/ldFdZRiNAt,Example 1,5,5,5,5,"The reply directly addresses the issue, uses a friendly concise tone, and gives clear next steps."
@115888 why the HELL did you take off Miss June ‘75 ??? I’m confused,@783417 Hey Isabell. Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon! We have more info here: https://t.co/0i8GpimuDa /LO,2809048,2809047,content_availability,no,LLM-DRAFT — please review,@115888 Hey! Occasionally songs are taken down temporarily because of licensing changes. We hope Miss June ’75 will be back soon. More details here: https://t.co/0i8GpimuDa,Inspired by Example 1,5,5,4,5,"The reply directly explains the removal, uses a friendly tone, and offers a link for more info, making it clear and appropriate."
@115888 when is the Top Songs of 2017 playlist coming?,"@252778 Hey there! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see /NQ",566365,566363,feature_request,no,LLM-DRAFT — please review,"@user Hey there! We don’t have any info on this right now, but we’ll pass it along to the team as a suggestion. Stay tuned! 🎧","Based on Example 1’s pattern of acknowledging the request, saying we have no info yet, and promising to inform the team.",5,5,5,5,"The reply directly addresses the query, uses Spotify's friendly tone, and clearly states the next step of forwarding the request."
"@SpotifyCares yaay, the ""Discovered on"" section is back :) thanks for listening!",@372038 Thanks for the feedback! It's music to our ears 🎶  You know where to find us if there's anything else /GT,1068062,1068061,resolved_positive,no,LLM-DRAFT — please review,@User Thanks for the love! 🎉 Glad the “Discovered on” section is back. Let us know if you need anything else! /GT,Example 1,5,5,5,5,"The reply acknowledges the feedback, matches Spotify's friendly tone, and offers a clear next step."
"@SpotifyCares I’m running iOS 11 on my iPhone, the app didn’t respond couple times but now it’s working fine I don’t know what happed, thanks anyways ✌🏻",@139086 No worries! Feel free to reach back out if you notice any other issues. We'll be happy to lend a hand /TB,704760,704758,playback_bug,no,LLM-DRAFT — please review,"@yourhandle Glad to hear it’s back on track! If anything else acts up, just give us a shout. We’re here to help 😊 /TB","Inspired by Example 1, which acknowledged the resolved issue and offered further assistance.",5,5,5,5,"The reply directly acknowledges the resolved issue, uses Spotify’s friendly tone, and offers a clear next step if problems recur."
@SpotifyCares Is there really no way to disconnect my spotify account from facebook if disconnect button is not an option in settings??,"@682805 Hey there, help's here! Can you DM us your account's username and email address? We'll take a look backstage /TF",2947627,2947626,login_account_access,yes,corrected during review,@SpotifyCares Hey there! We can sort that out. Please DM us your account email or username and we’ll take a look backstage. 🎧,Inspired by examples 1‑3 where we asked for a DM with email/username to help disconnect Facebook.,5,5,5,5,"The reply directly addresses the issue, uses a friendly tone, and gives a clear next step."
@SpotifyCares I’ve had the worst customer service I’ve ever had. Can I please get some help. I’ve been waiting all day.,@502759 Sorry for the delay! We've just sent you a DM. Let's carry on chatting there /RH,1645300,1645299,login_account_access,yes,LLM-DRAFT — please review,@SpotifyCares Sorry for the delay! We’ve just sent you a DM so we can sort this out quickly. Talk soon! /RH,Example 1 (similarity: 1.00),5,5,5,5,"The reply directly acknowledges the delay, offers a clear next step via DM, and uses Spotify's friendly, concise tone."
