customer_text,brand_reply,customer_tweet_id,reply_tweet_id,intent,notes
@SpotifyCares  Check out these awesome Christmas tracks just waiting for a playlist add. https://t.co/skpNUfuQFp,@283473 Hey Lance! Our Curation team are independent so there's no formal submission process. Check out https://t.co/Ackn8bZUwo to help you gain visibility /K,1632119,1632118,,
@SpotifyCares Same person) or a song followed by the remix of the same song. So frustrating I want random shuffle! It's the most recent app update on iOS,"@127359 That's odd. Just to check, does it do the exact same thing when you shuffle it again? /MU",50627,50628,,
"@SpotifyCares Hi I changed my phone yesterday to an iPhone6 but I can’t get Premium even though I’m a premium subscriber, please rectify for me. Thanks","@667079 Hi Phelim, help's here! Can you DM us your account's email address or username? We'll take a look backstage /GT https://t.co/ldFdZRiNAt",2297992,2297990,,
@SpotifyCares Yooo!!! You rock 🤘 https://t.co/KrNfhqGQWw,@382883 Thanks. We’re working on it at the moment. We're always trying to improve Spotify. Stay tuned /BE,2691957,2691959,,
Nice to know I have a day left on my @115888 premium but they've ripped me off and cut it off too early.,@610806 Hey! Sorry to hear that. Can you DM us your account's username or email address? We'll take a look under the hood /JS https://t.co/ldFdZRiNAt,2065478,2065476,,
@SpotifyCares Does Spotify Mac do a fade in on play if it’s been idle for a while or is it my amp? Cross fade tracks is off in the settings.,"@270402 Hi Joris, help's arrived! Just to check, do you hear fade in while playing music on other speakers? Let us know /TY",634352,634351,,
"Spotify, if I find a new artist, the last thing I want to hear is a commentary album by this artist.","@746661 Hey! We hear you loud and clear. We can’t make any promises, but we’ll pass your feedback onto the right folks. Let us know if you need help with anything else /MO",2646422,2646420,,
@115888 I can't seem to login my account on your website but I can login with my phone app and my desktop WHY??? Can you pls check??,@340097 Hi Phillip! Can you DM us your account's username or email address? We'll take a look backstage /MC https://t.co/ldFdZRiNAt,927653,927652,,
Has anyone else’s #ios11update fucked up the volume with @115888 ?!,@315500 Hey Abi! That's not cool. Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted /MX,820766,820765,,
@115888 hey can you guys make an update where i can upload pictures + descriptions on playlists on the app,@479479 Hey Miranda! We'll gladly let the right folks know it's something you'd like to see. Give us a shout if you need us 🙂 /BH,1548924,1548923,,
@117153 hey! was rejected in spotoify premium for students but i'm still charged. please give me a refund as i have not been granted  premium account.,@689954 Hey! We've just sent a DM your way. Let's carry on chatting there /NY,2397304,2397303,,
"Hey, @115888, can you guys NOT raise the volume on the ads?! Are you trying to rupture my ear drums?","@324170 Thanks for your feedback - we'll pass it on. For now, check out https://t.co/zgnxs5kPEu if you haven't had a subscription before /HC",1802412,1802411,,
@SpotifyCares So will it still be free?,"@577598 Just to clarify, are you referring to the Starbucks promo? /MT",1942510,1942512,,
"@SpotifyCares That doc doesn't include an Edit section for android, because it isn't possible on android, and that's ridiculous.",@274162 Sorry for the confusion. We're afraid editing playlists isn't currently possible on Android devices. We'd suggest adding your support for the idea in our Community at https://t.co/cxqCh7BOea /AR,648657,648659,,
El oh vee eeeee &amp; affection 💓  https://t.co/I1B3M4Pcze,"@270315 Aww, how sweet! You've made us blush. We feel so... https://t.co/GGsiYakp7I 💚 /LX",634052,634051,,
@SpotifyCares Hello! I did as you said and it still only shows 3 people I follow :O,@166000 Got it. Could you check if following the steps at https://t.co/46sWVpIvlI does the trick? /DV,211098,211096,,
@SpotifyCares please Direct message me. Can’t reach out to anyone at your company about some fraudulent charges.  0 points for customer service at this point.,@770078 Hey John! Can you DM us your account's email address? We'll check things out /KC https://t.co/ldFdZRiNAt,2750595,2750594,,
@115888 Things I listened to this morning offline are suddenly unavailable without re-downloading. Wtf.,"@657991 Hi, sorry to hear that. Check out the steps under “Downloads unexpectedly removed” at https://t.co/38J7tFlIBF. This should help /RB",2259674,2259673,,
"@SpotifyCares I just renewed my subscription through Rogers, but it hasn't reflected on my account yet. Just curious how long it'll take?",@562177 Hey Kyle! Could you send us a DM with your account's email address or username? We'll take a look backstage /FR https://t.co/ldFdZRiNAt,1884064,1884063,,
"Hi @115888, I accidentally listened to a mumble rap song last week, now my whole Discover Weekly playlist is mumble rap. How do I reset it?","@289428 1: Hi Ryan! We're afraid it's not possible to reset it at the moment. Don't worry, it’ll be re-tuned on Monday. Just keep listening...",708724,708725,,
"@SpotifyCares got PW reset message, follow link, enter new password but then get this message. Generate new reset e-mail, same thing. Happening on Chrome and Firefox. Help? https://t.co/7AATasWWBZ","@136353 Hey Sebastian, help's here! Could you send us a DM with your account's email address or username? We'll take a look backstage /CO https://t.co/ldFdZRiNAt",93860,93859,,
"@115888 just took “Take Care” the album off spotify over night, put that shit back up!","@723623 Hi Randy! Are you referring to Drake's album? If not, can you tell us the name of the artist whose album you're looking for? /RR",2545889,2545887,,
@115888 @116130 @125633 @117168,@456527 Hey there! This sounds like something for our Artist Services team. You can reach out to them here: https://t.co/3j9HWSEG0s /KP,1450243,1450242,,
Why does @115888 just stop playing my music every 5 min? I can't work with this.,"@396567 ¡Hey there! Can you tell us what device, operating system and Spotify version you're using? /LF",1175729,1175728,,
@115888 I would appreciate it if things like Dark Horse didn’t play when I hit shuffle on Harry Styles’ album. Thank you.,@559237 Hey Morgan! Could you let us know your account's email address or username via DM? We'll check backstage /RK https://t.co/ldFdZRiNAt,1872865,1872864,,
@SpotifyCares Is there a way to stream @115888 from my Apple Watch3 over LTE without using my phone? I don't want to switch to @115948,"@511351 Hey Thom! We're afraid this isn't possible now, but you can vote for the idea here https://t.co/SEK4E4gi22 /JP",1682039,1682038,,
@SpotifyCares I am trying to cancel my free trial before I get charged but it is telling me I have no subscriptions and therefore there's no cancel option. I def got free trial and am worried I will be charged.,"@732088 Hi Georgie, help's arrived! Can you DM us with your account's username and email address? We'll check it out /WW https://t.co/ldFdZRiNAt",2583359,2583358,,
@SpotifyCares I’m on the latest version updated for iPhone X. These issues were present prior to the update for me as well.,@746642 Thanks for letting us know. Does restarting your device make any difference? Let us know how it goes /XF,2646371,2646373,,
The @115888 Halloween playlist without any White Zombie or Rob Zombie is an epic fail. You can't get any more Halloween than that!!!,"@418795 Hi! Our Curation team are independent &amp; use taste, data, research, and trends to create playlists, but we’ll pass on your suggestion /AU",1276544,1276543,,
@115888  Ummmmmm  I'm looking for a 7/11 or Walmart that sells the Spotify card I already went to 5 stores.... What's the deal?,"@578060 Hey! You can find a list of locations at https://t.co/lkSzo0fVNB, but we'd recommend reaching out to the retailers for availability /DD",1944508,1944506,,
@SpotifyCares hi. When will the iPad app layout be fixed? Blowing up the UI from iPhone is not cool or acceptable. I miss the two panels. :/,"@381881 2: by adding your vote here: here: https://t.co/ummyhZpk6f. If you need anything else, just give us a shout 💚 /KC",1109711,1109710,,
"@SpotifyCares what should I do ? someone has gained access after 3 times
. I have reset my password and logout everywhere already but it didn't work. can you help me?",@731777 Hey there! Can you send us a DM with your account's email address? We'll check this out backstage /CE https://t.co/ldFdZR1cbT,2582050,2582049,,
Omg YES I found the song I'd forgot to save from my @115888 Discover Weekly playlist. Play it LOUD! Safari Song https://t.co/v7nhNLD5fU,@793476 Great! Glad to hear that. Let us know if you need anything else 😁 /NS,2921967,2921965,,
@SpotifyCares I can’t login. When I press the login button it just doesn’t do anything. - iOS App,@399662 Hi there! Help's here. Can you try restarting your device to see if it makes a difference? Keep us posted /MU,1189843,1189842,,
"@SpotifyCares Aha, the ""new window"" did the trick! So you will still get my money in the future 🙂 Thx for helping out.","@723618 Awesome, that's what we like to hear! If you need us again, just... https://t.co/AUc7DGJpgF, and we'll come running 🏃 /CP",2545867,2545868,,
FINALLY SUPPORT FROM @115888 FOR IPHONEX,"@292361 Hey Marcus. Just to check, is everything running smoothly on your end now? /AY",2610837,2610836,,
@115888 let's get my Single Be My Girl on a cool playlist!!,"@559827 Hey! Our Curation team are independent &amp; use taste, data, research, and trends to create playlists, but we’ll pass on your suggestion /JL",1875286,1875284,,
@115888 @SpotifyCares y'all need to fix this asap,@229752 We hear you! Your feedback has been noted and passed onto the team 👊🏼 /MX,1144399,1144398,,
finally got Spotify to work n now could greet of happiness,"@584230 Woohoo, that's what we like to hear! Give us a shout if you need us again, otherwise... https://t.co/SkdXv2BhCb /CG",1972500,2439914,,
@SpotifyCares Also... why do my playlists add random songs (usually by same artist as my playlist songs) on mobile (android) but not when I listen to them via the web app? Cheers,"@472547 1: Hey James! Check out https://t.co/zgnxs5kPEu if you've never had a subscription/trial before. Also, Suggested Tracks are part of the...",1520023,1520025,,
Hey @115888 why is it only my time capsule looks like this? The look is great and I’d love it if all my music payback looked this way https://t.co/p2dgI73gH5,@644390 Hey! It's great to hear your thoughts about this. Thanks for the feedback – we appreciate it. We’ll get this passed onto the right team /GU,2203794,2203793,,
@SpotifyCares If I wanted to shuffle my last 50 songs I would just play them because they are recent. I want to shuffle ALL my songs,"@554225 1: The ""Random"" button mentioned in the link was a suggestion from one of our Community members. By the way, could you...",1851707,1851711,,
@SpotifyCares Yes but didn’t work actually this problem occurred after the Spotify update to 8.4.26 version,"@661838 1: Got it. We don't officially support beta iOS versions at this time, but we'll still help you out. Could you try reinstalling the...",2275491,2275493,,
@115888 As soon as i decide to start paying you money your website is fucked.,@779265 Hey! We're here to help. Are you getting any specific errors? Can you DM us your account's username or email address? We'll check things backstage /CP https://t.co/ldFdZRiNAt,2792196,2792195,,
"I know @115888 radio has an algorithm for #thumbsup and #thumbsdown, but they should have an extra-concentrated algorithm for ""clicked back to a song just to thumbs down it."" #Spotify #Music",@807680 Hey there! We hear you. Your feedback has been noted and passed onto the team /NQ,2917982,2917980,,
"@118266 malam min, mau tanya itu akun spotify premium saya kok tiba tiba ilang ya? pas mau login ke logout otomatis","@775426 Hey! We can help out in English via Twitter, but we also have Indonesian support via email at https://t.co/ZgU70TbP8M /AU",2774586,2774585,,
"@SpotifyCares Hi, on the track ""Ma Story"" (Caballero &amp; JeanJass) the featuring ""Angele"" is wrong, it's actually Angèle : https://t.co/PxmTEuPHhW",@803340 Got it! We'll get this reported. Great detective work 🔍 https://t.co/LpsmyUtme0 /GT,2899854,2899855,,
@115888 @117168 @SpotifyCares hire him and do it now https://t.co/U05xEvMEm8,@348617 Hey! We'd love to have him on the team. You can check out job opportunities here: https://t.co/c1Z94oBFOl /DD,963341,963340,,
@SpotifyCares Nope,"@436842 Just to check, does the issue happen over 3/4G, WiFi, or both? /AG",1358992,1358993,,
"@SpotifyCares I shouldn't need to do that, i'm happy with the number i have",@472543 We understand. We'll pass this feedback on to the appropriate team /TF,1520007,1520006,,
@SpotifyCares Thank you. I’ve dropped @159550 an email 🤞🏾,@408853 Awesome! Let us know how it goes. We'll be happy to help /DV,1231500,1231501,,
@SpotifyCares It sends me here https://t.co/q1mkaiOuQY,@269394 Got it. You can subscribe to Premium by heading here: https://t.co/08kG2GBNp5. Let us know how it goes /AN,630453,630452,,
@SpotifyCares I'm having problems with my Premium Family account.  Two of my family members have been unable to sign in.,@334379 Hi Marsha! Help's on its way. Can you DM us the email addresses registered in both yours and your family members' accounts? /DD https://t.co/ldFdZRiNAt,903062,903061,,
"@SpotifyCares You are not following! Your model is biased to think that if I like items in ""coleteo venezolano""  then I will necessarily like items in ""gaitas venezolanas"". This bias is outrageous.","@672952 We understand. No worries, your feedback has been noted. We'll make sure to pass it on to the relevant folks /GT",2322411,2322413,,
@SpotifyCares glad I’ve been paying for Spotify+Hulu premium for students even though Hulu won’t connect to my account #Spotifysucks,@586530 Hey Joe. We're sorry you feel that way. Could you send us a DM with your account's email address so we can take a look under the hood? /LS https://t.co/ldFdZRiNAt,1981472,1981471,,
@SpotifyCares yoo where will Varleys albums at?,"@545252 Hey Matthew! We’d love to have all of his stuff available, but we have some info about content here: https://t.co/0i8GpimuDa /CH",1815098,1815097,,
@117168 @SpotifyCares @115888 is there a valid reason why I can't edit the order of my playlists on my Android device? That should really be something catered to all devices.,"@777980 Hey Jacob! We'd love to help. You can edit playlist order by logging into Spotify from a desktop. We also see how that’d be useful on your Android. We’d recommend posting it in our Community, where you can get support from other fans: https://t.co/rtDvYZOF32. Stay awesome 😁 /TI",2786626,2786624,,
@SpotifyCares facebook login not working help pages don't help plz help thanks,@421270 Hey! We've just sent you a DM. Check your inbox /RH,2815056,2815055,,
@SpotifyCares Just curious: how do I make Discover Weekly better? Can it tell how soon I skip a song? Is there anyway to dislike a song? Thanks!,"@559353 Hey Trystan! To keep Discover Weekly fresh, keep listening to more of your favourite tunes. This will mix things up /TF",2499432,2499431,,
"@SpotifyCares Windows 10, 1.0.68.407.g6864aaaf","@802394 Got it. Just to check, does logging out then logging back in help at all? /PB",2895455,2895457,,
Almost a week in and still no @115888 update for the #iPhoneX while lesser known 3rd party apps are already on the bandwagon ... smh ...,"@630431 Hey there! We hear you 🎧 Rest assured, your feedback will be passed on to the right folks /MO",2144245,2144244,,
"@115888 @SpotifyCares @117168 Why do you continue to not support ""Block stalker""? You are now bad as @123765! https://t.co/gQQeNfu7EI",@214905 2: Hopefully this is something we'll be able to implement in the future /NS,418866,418865,,
@SpotifyCares literally have more problems with your app than any other app on my phone. At least once a week the whole thing crashes and I either need to close down the app or completely delete it and re-download it,"@808019 Hey, thanks for the report! We had a little hiccup earlier, but everything should be running just fine now /JS",2919325,2919324,,
@115888 reply to my tweet FFS. 😒,"@148084 We'd like to help out, but could you let us know what's going on first? You can send us more details via DM as well /NJ https://t.co/ldFdZR1cbT",1803465,1803464,,
@709454 @115888 Hey @SpotifyCares put chance the rappers entire discography on there while you’re at. Coloring book is 10/10 but so is acid rap and 10 day,"@712380 Hey! We’d love to have all of his stuff available, but we have some info about content here: https://t.co/0i8GpimuDa /AR",2483221,2496166,,
@115888 why am i getting 2 ads in a row?,"@560526 Hi! Thanks for your feedback - we'll pass it on. For now, check out https://t.co/zgnxs5kPEu if you haven't had a subscription before /RB",1877822,1877821,,
@SpotifyCares the problem hasn't been fixed,@181577 Hey! It seems the track was removed because of licensing or other legal issues. Hopefully we'll have it available again soon /NQ,274497,274498,,
"Hey @SpotifyCares if my Spotify was made with facebook, can other people find my facebook through my Spotify? Can I change my display name?",@600564 Hi there! We have some useful info here: https://t.co/fI2NF40484. You can also check this out: https://t.co/d4d2bNBxus. Hope this helps /NY,2030999,2030998,,
@115888 you should add a functionality: sort tracks by bpm. #asap,@770622 Hey there! This sounds like a great idea. You can show your support for this here: https://t.co/7qXM7TUxUt /CE,2752819,2752818,,
"Its taking @115888 a while to get ""Already Dead"" up but it'll be there eventually dudes. #alreadydead","@567715 Hey there! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa /RS",1905165,1905164,,
@SpotifyCares This is what I get everytime https://t.co/wFFbalGfuo,@564087 It seems that you're playing directly from your iPhone instead of just streaming it from your computer first. You need to play the track on your computer before using Connect to stream it to your iPhone. You can check for the steps here: https://t.co/64CIqASpvY /JU,2862756,2862757,,
"Sorry @115888 but I get so wound up ... Why can't I see my 'phone queue on my PC, when both are signed on to the same account?",@386660 1: Hi! We're afraid it's not possible to stream music on 2 different devices simultaneously. That's why you're unable to see the play queue.,1131541,1131552,,
@SpotifyCares It is an #amazing album. @35357 at his finest,@309982 We'd love to have it on Spotify! Fingers crossed it'll soon be available to us 👍 /RK,796692,796694,,
"@115888 I thought this was a headphone bug, but now I see it’s a Spotify bug. Issues with #iOS11 ? https://t.co/B274e475Db",@252030 Hey Jan! Is this also happening on other songs? Can you let us know your iPhone model and Spotify version? We'll take a closer look /LS,2259696,2259695,,
